Time,Pressure_hPa,Altitude_m,Drop_m,LED_Status
1768821191.6313622,1004.94,69.39,1.06,0
1768821191.7341444,1004.95,69.35,1.09,0
1768821191.8368468,1004.95,69.36,1.08,0
1768821191.9395084,1004.95,69.36,1.08,0
1768821192.0421114,1004.95,69.36,1.08,0
1768821192.1448162,1004.94,69.42,1.02,0
1768821192.2474303,1004.94,69.42,1.02,0
1768821192.3501587,1004.94,69.41,1.03,0
1768821192.4529748,1004.94,69.41,1.03,0
1768821192.5556626,1004.95,69.36,1.08,0
1768821192.6583807,1004.95,69.37,1.08,0
1768821192.7609966,1004.94,69.38,1.06,0
1768821192.8635976,1004.94,69.38,1.06,0
1768821192.9662862,1004.95,69.36,1.08,0
1768821193.0689447,1004.95,69.36,1.08,0
1768821193.1715567,1004.95,69.36,1.08,0
1768821193.2741783,1004.95,69.36,1.08,0
1768821193.376865,1004.95,69.34,1.10,0
1768821193.4796348,1004.95,69.34,1.10,0
1768821193.5822616,1004.95,69.33,1.11,0
1768821193.6849883,1004.95,69.33,1.11,0
1768821193.7877412,1004.94,69.39,1.05,0
1768821193.8904345,1004.94,69.38,1.06,0
1768821193.993049,1004.94,69.38,1.06,0
1768821194.0956213,1004.94,69.39,1.06,0
1768821194.1982028,1004.94,69.39,1.05,0
1768821194.3010368,1004.94,69.39,1.05,0
1768821194.4038248,1004.94,69.39,1.05,0
1768821194.5066342,1004.94,69.40,1.04,0
1768821194.6092818,1004.94,69.43,1.02,0
1768821194.711925,1004.94,69.42,1.02,0
1768821194.8145874,1004.94,69.38,1.06,0
1768821194.9172165,1004.94,69.39,1.05,0
1768821195.019878,1004.94,69.44,1.00,0
1768821195.1224682,1004.94,69.44,1.01,0
1768821195.225088,1004.94,69.40,1.04,0
1768821195.327712,1004.94,69.40,1.04,0
1768821195.4305031,1004.94,69.38,1.06,0
1768821195.5331779,1004.94,69.38,1.07,0
1768821195.6358366,1004.94,69.41,1.03,0
1768821195.7385216,1004.94,69.42,1.02,0
1768821195.8411512,1004.96,69.22,1.23,0
1768821195.9438171,1004.96,69.21,1.23,0
1768821196.0464053,1004.95,69.36,1.08,0
1768821196.1490288,1004.95,69.36,1.08,0
1768821196.2516553,1004.94,69.39,1.05,0
1768821196.354267,1004.94,69.39,1.05,0
1768821196.4571154,1004.94,69.40,1.04,0
1768821196.5598776,1004.94,69.40,1.04,0
1768821196.6627288,1004.95,69.35,1.10,0
1768821196.7683814,1004.95,69.34,1.10,0
1768821196.87119,1004.94,69.42,1.02,0
1768821196.9739585,1004.94,69.42,1.02,0
1768821197.0766134,1004.94,69.42,1.02,0
1768821197.1792557,1004.94,69.43,1.02,0
1768821197.2818787,1004.94,69.42,1.03,0
1768821197.3845034,1004.94,69.42,1.03,0
1768821197.4875064,1004.94,69.40,1.04,0
1768821197.590264,1004.94,69.41,1.04,0
1768821197.6929345,1004.94,69.40,1.04,0
1768821197.7956746,1004.94,69.40,1.04,0
1768821197.8983428,1004.95,69.36,1.08,0
1768821198.0009887,1004.95,69.36,1.08,0
1768821198.1035852,1004.95,69.34,1.10,0
1768821198.2062578,1004.95,69.34,1.10,0
1768821198.3089013,1004.96,69.27,1.17,0
1768821198.4116898,1004.96,69.27,1.17,0
1768821198.5144284,1004.95,69.34,1.10,0
1768821198.61722,1004.95,69.33,1.11,0
1768821198.7199895,1004.95,69.36,1.08,0
1768821198.8227217,1004.95,69.37,1.07,0
1768821198.9254448,1004.94,69.38,1.06,0
1768821199.0280342,1004.94,69.39,1.06,0
1768821199.1306627,1004.94,69.44,1.00,0
1768821199.2333188,1004.94,69.43,1.01,0
1768821199.3359396,1004.94,69.45,0.99,0
1768821199.4388616,1004.94,69.46,0.98,0
1768821199.5415833,1004.95,69.37,1.07,0
1768821199.644234,1004.95,69.37,1.07,0
1768821199.7469854,1004.95,69.36,1.09,0
1768821199.8496873,1004.95,69.35,1.09,0
1768821199.9523325,1004.94,69.39,1.05,0
1768821200.0550015,1004.94,69.39,1.05,0
1768821200.157564,1004.95,69.36,1.08,0
1768821200.2602413,1004.95,69.36,1.08,0
1768821200.3628898,1004.94,69.41,1.03,0
1768821200.4657366,1004.94,69.41,1.03,0
1768821200.568428,1004.94,69.44,1.00,0
1768821200.6710734,1004.94,69.44,1.00,0
1768821200.7736802,1004.94,69.44,1.01,0
1768821200.876335,1004.94,69.42,1.02,0
1768821200.9790337,1004.94,69.42,1.02,0
1768821201.0816936,1004.93,69.52,0.93,0
1768821201.184273,1004.93,69.51,0.93,0
1768821201.286838,1004.92,69.56,0.89,0
1768821201.3894615,1004.92,69.57,0.88,0
1768821201.4922638,1004.92,69.55,0.89,0
1768821201.5948918,1004.92,69.55,0.90,0
1768821201.6974568,1004.92,69.55,0.90,0
1768821201.803087,1004.92,69.55,0.89,0
1768821201.9059763,1004.93,69.53,0.91,0
1768821202.008803,1004.93,69.53,0.91,0
1768821202.1114995,1004.94,69.46,0.99,0
1768821202.2141051,1004.94,69.46,0.98,0
1768821202.3167298,1004.93,69.49,0.95,0
1768821202.4195042,1004.93,69.49,0.95,0
1768821202.5222492,1004.93,69.52,0.92,0
1768821202.624924,1004.93,69.53,0.91,0
1768821202.7275434,1004.93,69.51,0.93,0
1768821202.8301668,1004.93,69.51,0.93,0
1768821202.9329686,1004.93,69.52,0.92,0
1768821203.0356183,1004.93,69.52,0.93,0
1768821203.138187,1004.92,69.56,0.89,0
1768821203.2407982,1004.92,69.55,0.89,0
1768821203.343371,1004.93,69.47,0.97,0
1768821203.446166,1004.93,69.47,0.97,0
1768821203.549024,1004.93,69.49,0.95,0
1768821203.6516635,1004.93,69.49,0.95,0
1768821203.7543142,1004.93,69.54,0.90,0
1768821203.8569725,1004.93,69.54,0.90,0
1768821203.9596107,1004.93,69.52,0.92,0
1768821204.0622199,1004.93,69.53,0.92,0
1768821204.1648746,1004.93,69.48,0.97,0
1768821204.267459,1004.93,69.47,0.97,0
1768821204.3700607,1004.93,69.49,0.95,0
1768821204.472848,1004.93,69.48,0.96,0
1768821204.575543,1004.94,69.38,1.06,0
1768821204.6781368,1004.94,69.39,1.05,0
1768821204.7808018,1004.95,69.36,1.09,0
1768821204.8833761,1004.95,69.35,1.09,0
1768821204.985986,1004.94,69.40,1.04,0
1768821205.0885677,1004.94,69.41,1.03,0
1768821205.1912336,1004.95,69.33,1.11,0
1768821205.2938712,1004.95,69.32,1.12,0
1768821205.396774,1004.95,69.31,1.14,0
1768821205.4995096,1004.95,69.31,1.13,0
1768821205.6021185,1004.95,69.32,1.12,0
1768821205.7047935,1004.95,69.32,1.12,0
1768821205.807438,1004.96,69.28,1.16,0
1768821205.9102643,1004.96,69.29,1.16,0
1768821206.0129688,1004.95,69.31,1.13,0
1768821206.1155903,1004.95,69.31,1.13,0
1768821206.218137,1004.95,69.35,1.09,0
1768821206.3207624,1004.95,69.36,1.09,0
1768821206.4235694,1004.95,69.31,1.13,0
