Time,Pressure_hPa,Abs_Alt_m,Rel_Alt_m,LED_Status
2026-01-26 19:49:54.562194,1015.42,-18.08,-0.07,ON (Low Alt)
2026-01-26 19:49:54.680444,1015.42,-18.07,-0.06,ON (Low Alt)
2026-01-26 19:49:54.783974,1015.42,-18.08,-0.07,ON (Low Alt)
2026-01-26 19:49:54.886559,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:49:54.989219,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:49:55.092359,1015.42,-18.08,-0.07,ON (Low Alt)
2026-01-26 19:49:55.195433,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:49:55.298005,1015.43,-18.10,-0.09,ON (Low Alt)
2026-01-26 19:49:55.400640,1015.43,-18.10,-0.09,ON (Low Alt)
2026-01-26 19:49:55.503354,1015.43,-18.10,-0.09,ON (Low Alt)
2026-01-26 19:49:55.606366,1015.43,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:49:55.708991,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:49:55.811618,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:49:55.914181,1015.43,-18.11,-0.10,ON (Low Alt)
2026-01-26 19:49:56.017129,1015.43,-18.12,-0.11,ON (Low Alt)
2026-01-26 19:49:56.121738,1015.43,-18.10,-0.09,ON (Low Alt)
2026-01-26 19:49:56.225949,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:49:56.328940,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:49:56.431803,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:49:56.534789,1015.42,-18.08,-0.07,ON (Low Alt)
2026-01-26 19:49:56.637621,1015.42,-18.08,-0.07,ON (Low Alt)
2026-01-26 19:49:56.740658,1015.42,-18.07,-0.06,ON (Low Alt)
2026-01-26 19:49:56.843621,1015.42,-18.06,-0.05,ON (Low Alt)
2026-01-26 19:49:56.951633,1015.42,-18.08,-0.07,ON (Low Alt)
2026-01-26 19:49:57.054713,1015.42,-18.08,-0.07,ON (Low Alt)
2026-01-26 19:49:57.161049,1015.42,-18.08,-0.07,ON (Low Alt)
2026-01-26 19:49:57.276638,1015.42,-18.07,-0.06,ON (Low Alt)
2026-01-26 19:49:57.380353,1015.42,-18.08,-0.07,ON (Low Alt)
2026-01-26 19:49:57.484816,1015.42,-18.08,-0.07,ON (Low Alt)
2026-01-26 19:49:57.588702,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:49:57.691659,1015.42,-18.08,-0.07,ON (Low Alt)
2026-01-26 19:49:57.794400,1015.42,-18.08,-0.08,ON (Low Alt)
2026-01-26 19:49:57.897137,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:49:58.000143,1015.43,-18.10,-0.09,ON (Low Alt)
2026-01-26 19:49:58.103534,1015.43,-18.09,-0.09,ON (Low Alt)
2026-01-26 19:49:58.207106,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:49:58.310209,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:49:58.413707,1015.43,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:49:58.516670,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:49:58.619473,1015.43,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:49:58.722234,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:49:58.825012,1015.43,-18.10,-0.09,ON (Low Alt)
2026-01-26 19:49:58.928855,1015.43,-18.11,-0.10,ON (Low Alt)
2026-01-26 19:49:59.031791,1015.43,-18.11,-0.10,ON (Low Alt)
2026-01-26 19:49:59.134820,1015.43,-18.10,-0.09,ON (Low Alt)
2026-01-26 19:49:59.237464,1015.43,-18.10,-0.09,ON (Low Alt)
2026-01-26 19:49:59.340662,1015.43,-18.10,-0.09,ON (Low Alt)
2026-01-26 19:49:59.443583,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:49:59.546846,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:49:59.650561,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:49:59.754694,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:49:59.859226,1015.42,-18.08,-0.07,ON (Low Alt)
2026-01-26 19:49:59.962682,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:50:00.065685,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:50:00.169056,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:50:00.272794,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:50:00.386915,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:50:00.495971,1015.43,-18.12,-0.11,ON (Low Alt)
2026-01-26 19:50:00.599753,1015.43,-18.11,-0.10,ON (Low Alt)
2026-01-26 19:50:00.702770,1015.43,-18.10,-0.09,ON (Low Alt)
2026-01-26 19:50:00.805705,1015.43,-18.11,-0.10,ON (Low Alt)
2026-01-26 19:50:00.910026,1015.43,-18.10,-0.09,ON (Low Alt)
2026-01-26 19:50:01.013611,1015.42,-18.08,-0.07,ON (Low Alt)
2026-01-26 19:50:01.116608,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:50:01.219732,1015.43,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:50:01.322880,1015.43,-18.10,-0.09,ON (Low Alt)
2026-01-26 19:50:01.425893,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:50:01.529265,1015.43,-18.10,-0.09,ON (Low Alt)
2026-01-26 19:50:01.634851,1015.43,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:50:01.737828,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:50:01.842040,1015.42,-18.09,-0.08,ON (Low Alt)
2026-01-26 19:50:01.945076,1015.42,-18.07,-0.06,ON (Low Alt)
2026-01-26 19:50:02.048868,1015.42,-18.08,-0.07,ON (Low Alt)
2026-01-26 19:50:02.152369,1015.42,-18.08,-0.07,ON (Low Alt)
2026-01-26 19:50:02.255728,1015.42,-18.08,-0.07,ON (Low Alt)
2026-01-26 19:50:02.359584,1015.43,-18.11,-0.10,ON (Low Alt)
2026-01-26 19:50:02.462955,1015.43,-18.11,-0.10,ON (Low Alt)
2026-01-26 19:50:02.566129,1015.43,-18.12,-0.11,ON (Low Alt)
2026-01-26 19:50:02.668684,1015.43,-18.11,-0.10,ON (Low Alt)
2026-01-26 19:50:02.772395,1015.43,-18.13,-0.12,ON (Low Alt)
2026-01-26 19:50:02.875749,1015.43,-18.14,-0.13,ON (Low Alt)
2026-01-26 19:50:02.978757,1015.43,-18.15,-0.14,ON (Low Alt)
2026-01-26 19:50:03.083483,1015.43,-18.15,-0.14,ON (Low Alt)
2026-01-26 19:50:03.187620,1015.43,-18.17,-0.16,ON (Low Alt)
2026-01-26 19:50:03.290846,1015.43,-18.16,-0.15,ON (Low Alt)
2026-01-26 19:50:03.394693,1015.43,-18.16,-0.15,ON (Low Alt)
2026-01-26 19:50:03.498074,1015.43,-18.16,-0.15,ON (Low Alt)
2026-01-26 19:50:03.600879,1015.43,-18.17,-0.16,ON (Low Alt)
2026-01-26 19:50:03.703635,1015.44,-18.18,-0.17,ON (Low Alt)
2026-01-26 19:50:03.806310,1015.44,-18.18,-0.17,ON (Low Alt)
2026-01-26 19:50:03.909456,1015.44,-18.18,-0.17,ON (Low Alt)
2026-01-26 19:50:04.012257,1015.44,-18.19,-0.18,ON (Low Alt)
2026-01-26 19:50:04.115421,1015.44,-18.18,-0.17,ON (Low Alt)
2026-01-26 19:57:04.017298,1015.44,-18.19,-0.18,ON (Low Alt)
2026-01-26 19:57:04.120169,1015.44,-18.20,-0.19,ON (Low Alt)
2026-01-26 19:57:04.223110,1015.44,-18.20,-0.19,ON (Low Alt)
2026-01-26 19:57:04.328084,1015.44,-18.19,-0.18,ON (Low Alt)
2026-01-26 19:57:04.431025,1015.44,-18.19,-0.18,ON (Low Alt)
2026-01-26 19:57:04.534861,1015.44,-18.19,-0.18,ON (Low Alt)
2026-01-26 19:57:04.637945,1015.44,-18.19,-0.18,ON (Low Alt)
2026-01-26 19:57:04.740502,1015.44,-18.19,-0.18,ON (Low Alt)
2026-01-26 19:57:04.848372,1015.44,-18.21,-0.20,ON (Low Alt)
2026-01-26 19:57:04.952715,1015.44,-18.21,-0.20,ON (Low Alt)
2026-01-26 19:57:05.058762,1015.44,-18.20,-0.19,ON (Low Alt)
2026-01-26 19:57:05.161537,1015.44,-18.19,-0.18,ON (Low Alt)
2026-01-26 19:57:05.264195,1015.44,-18.19,-0.18,ON (Low Alt)
2026-01-26 19:57:05.366971,1015.44,-18.18,-0.17,ON (Low Alt)
2026-01-26 19:57:05.469599,1015.44,-18.20,-0.19,ON (Low Alt)
2026-01-26 19:57:05.572405,1015.44,-18.19,-0.18,ON (Low Alt)
2026-01-26 19:57:05.675067,1015.43,-18.17,-0.16,ON (Low Alt)
2026-01-26 19:57:05.777761,1015.43,-18.17,-0.16,ON (Low Alt)
2026-01-26 19:57:05.880582,1015.44,-18.19,-0.18,ON (Low Alt)
2026-01-26 19:57:05.984041,1015.44,-18.19,-0.18,ON (Low Alt)
2026-01-26 19:57:06.086906,1015.44,-18.18,-0.17,ON (Low Alt)
2026-01-26 19:57:06.193260,1015.44,-18.18,-0.17,ON (Low Alt)
2026-01-26 19:57:06.299812,1015.44,-18.18,-0.17,ON (Low Alt)
2026-01-26 19:57:06.402708,1015.43,-18.18,-0.17,ON (Low Alt)
2026-01-26 19:57:06.506322,1015.43,-18.17,-0.16,ON (Low Alt)
2026-01-26 19:57:06.609073,1015.43,-18.17,-0.16,ON (Low Alt)
2026-01-26 19:57:06.711987,1015.44,-18.19,-0.18,ON (Low Alt)
2026-01-26 19:57:06.815030,1015.44,-18.20,-0.19,ON (Low Alt)
2026-01-26 19:57:06.917731,1015.44,-18.20,-0.19,ON (Low Alt)
2026-01-26 19:57:07.020507,1015.44,-18.20,-0.19,ON (Low Alt)
2026-01-26 19:57:07.123942,1015.44,-18.21,-0.20,ON (Low Alt)
2026-01-26 19:57:07.229801,1015.44,-18.21,-0.20,ON (Low Alt)
2026-01-26 19:57:07.334522,1015.44,-18.21,-0.20,ON (Low Alt)
2026-01-26 19:57:07.439769,1015.44,-18.22,-0.21,ON (Low Alt)
2026-01-26 19:57:07.545972,1015.44,-18.20,-0.19,ON (Low Alt)
2026-01-26 19:57:07.648832,1015.44,-18.20,-0.19,ON (Low Alt)
2026-01-26 19:57:07.758430,1015.44,-18.21,-0.20,ON (Low Alt)
2026-01-26 19:57:07.861413,1015.44,-18.21,-0.20,ON (Low Alt)
2026-01-26 19:57:07.964747,1015.44,-18.21,-0.20,ON (Low Alt)
2026-01-26 19:57:08.067775,1015.44,-18.19,-0.18,ON (Low Alt)
2026-01-26 19:57:08.170945,1015.44,-18.20,-0.19,ON (Low Alt)
2026-01-26 19:57:08.274395,1015.44,-18.19,-0.18,ON (Low Alt)
2026-01-26 19:57:08.377421,1015.44,-18.19,-0.18,ON (Low Alt)
2026-01-26 19:57:08.480357,1015.44,-18.20,-0.19,ON (Low Alt)
2026-01-26 19:57:08.583052,1015.44,-18.22,-0.21,ON (Low Alt)
2026-01-26 19:57:08.685705,1015.44,-18.21,-0.20,ON (Low Alt)
2026-01-26 19:57:08.788267,1015.44,-18.21,-0.20,ON (Low Alt)
2026-01-26 19:57:08.890896,1015.44,-18.21,-0.20,ON (Low Alt)
2026-01-26 19:57:08.994118,1015.44,-18.22,-0.21,ON (Low Alt)
2026-01-26 19:57:09.096851,1015.44,-18.21,-0.20,ON (Low Alt)
2026-01-26 19:57:09.199636,1015.44,-18.21,-0.20,ON (Low Alt)
2026-01-26 19:57:09.303501,1015.44,-18.21,-0.21,ON (Low Alt)
2026-01-26 19:57:09.406223,1015.44,-18.22,-0.21,ON (Low Alt)
2026-01-26 19:57:09.509097,1015.44,-18.22,-0.21,ON (Low Alt)
